timestamp,gsr,session_id,label
0,0.228,1,calm
0.1,0.225,1,calm
0.2,0.29,1,calm
0.3,0.265,1,calm
0.4,0.284,1,calm
0.5,0.276,1,calm
0.6,0.263,1,calm
0.7,0.209,1,calm
0.8,0.267,1,calm
0.9,0.224,1,calm
1,0.239,1,calm
1.1,0.261,1,calm
1.2,0.267,1,calm
1.3,0.222,1,calm
1.4,0.278,1,calm
1.5,0.23,1,calm
1.6,0.235,1,calm
1.7,0.212,1,calm
1.8,0.242,1,calm
1.9,0.263,1,calm
2,0.221,1,calm
2.1,0.206,1,calm
2.2,0.209,1,calm
2.3,0.205,1,calm
2.4,0.275,1,calm
2.5,0.206,1,calm
2.6,0.228,1,calm
2.7,0.247,1,calm
2.8,0.218,1,calm
2.9,0.224,1,calm
3,0.23,1,calm
3.1,0.29,1,calm
3.2,0.281,1,calm
3.3,0.247,1,calm
3.4,0.286,1,calm
3.5,0.248,1,calm
3.6,0.283,1,calm
3.7,0.277,1,calm
3.8,0.253,1,calm
3.9,0.236,1,calm
4,0.266,1,calm
4.1,0.203,1,calm
4.2,0.275,1,calm
4.3,0.203,1,calm
4.4,0.295,1,calm
4.5,0.27,1,calm
4.6,0.244,1,calm
4.7,0.244,1,calm
4.8,0.254,1,calm
4.9,0.293,1,calm
0,0.435,2,stressed
0.1,0.371,2,stressed
0.2,0.473,2,stressed
0.3,0.428,2,stressed
0.4,0.496,2,stressed
0.5,0.371,2,stressed
0.6,0.372,2,stressed
0.7,0.355,2,stressed
0.8,0.4,2,stressed
0.9,0.45,2,stressed
1,0.473,2,stressed
1.1,0.421,2,stressed
1.2,0.39,2,stressed
1.3,0.478,2,stressed
1.4,0.395,2,stressed
1.5,0.479,2,stressed
1.6,0.387,2,stressed
1.7,0.353,2,stressed
1.8,0.464,2,stressed
1.9,0.408,2,stressed
2,0.468,2,stressed
2.1,0.44,2,stressed
2.2,0.358,2,stressed
2.3,0.385,2,stressed
2.4,0.398,2,stressed
2.5,0.486,2,stressed
2.6,0.44,2,stressed
2.7,0.449,2,stressed
2.8,0.377,2,stressed
2.9,0.468,2,stressed
3,0.457,2,stressed
3.1,0.426,2,stressed
3.2,0.437,2,stressed
3.3,0.466,2,stressed
3.4,0.389,2,stressed
3.5,0.482,2,stressed
3.6,0.392,2,stressed
3.7,0.416,2,stressed
3.8,0.356,2,stressed
3.9,0.468,2,stressed
4,0.48,2,stressed
4.1,0.454,2,stressed
4.2,0.463,2,stressed
4.3,0.493,2,stressed
4.4,0.414,2,stressed
4.5,0.375,2,stressed
4.6,0.377,2,stressed
4.7,0.424,2,stressed
4.8,0.438,2,stressed
4.9,0.404,2,stressed
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Ask ChatGPT,,,
